"from","to","freq","duration_s"
"1003","1021",12,12829.3333333333
"1003","1022",5,1798.8
"1003","1023",5,3105.2
"1003","1024",5,2998.8
"1003","1025",5,17720
"1003","1026",3,5836.33333333333
"1003","1027",0,0
"1003","1028",4,6048
"1003","1029",2,3974.5
"1003","1030",0,0
"1003","1031",1,3437
"1003","1032",5,3146.6
"1003","1033",6,4347.66666666667
"1003","1034",4,2749.5
"1003","1035",9,1908.55555555556
"1003","1036",14,14629.4285714286
"1003","1037",8,4165.375
"1003","1038",5,13922.6
"1003","1039",2,2079.5
"1003","1040",3,2306
"1003","1041",16,1601.75
"1003","1042",1,860
"1003","1043",16,3683.5
"1003","1044",49,1716.4693877551
"1003","1045",401,2324.74812967581
"1003","1046",221,2412.64705882353
"1003","1047",331,1967.81873111782
"1003","1048",299,2396.11371237458
"1003","1049",328,2430.10365853659
"1003","1050",7,2109
"1003","1061",14,6488.57142857143
"1004","1000",91,4195.58241758242
"1004","1001",302,7364.1357615894
"1004","1002",52,1285.01923076923
"1004","1003",159,1454.27672955975
"1004","1004",1923,6588.20540821633
"1004","1005",48,3617
"1004","1006",50,3150.62
"1004","1007",25,1139.48
"1004","1008",19,1115.57894736842
"1004","1009",26,1707.57692307692
"1004","1010",66,3423.10606060606
"1004","1011",50,4696.06
"1004","1012",86,4130.8023255814
"1004","1013",40,3298.875
"1004","1014",26,7165.03846153846
"1004","1015",31,2583.74193548387
"1004","1016",84,5713.67857142857
"1004","1017",68,3890.22058823529
"1004","1018",11,3314.63636363636
"1004","1019",24,5655.29166666667
"1004","1020",2,2701
"1004","1021",1,1779
"1004","1022",0,0
"1004","1023",27,5272.62962962963
"1004","1024",2,3104
"1004","1025",1,3000
"1004","1026",1,3188
"1004","1027",1,18979
"1004","1028",4,3111.75
"1004","1029",1,2777
"1004","1030",0,0
"1004","1031",6,2749
"1004","1032",179,3589.79329608939
"1004","1033",30,4538.73333333333
"1004","1034",17,2541.76470588235
"1004","1035",10,3069
"1004","1036",57,3360.70175438596
"1004","1037",13,8117.69230769231
"1004","1038",124,1548.45161290323
"1004","1039",39,1796.94871794872
"1004","1040",12,1514.08333333333
"1004","1041",15,2054.6
"1004","1042",1,4893
"1004","1043",13,2262.30769230769
"1004","1044",94,1890.35106382979
"1004","1045",704,3784.15767045455
"1004","1046",102,4912.64705882353
"1004","1047",113,1798.84955752212
"1004","1048",182,2804.3021978022
"1004","1049",465,1836.1376344086
"1004","1050",11,9612
"1004","1061",4,1535.5
"1005","1000",110,4206.08181818182
"1005","1001",205,3213.83414634146
"1005","1002",44,11138.6363636364
"1005","1003",43,6417.25581395349
"1005","1004",78,4314.67948717949
"1005","1005",552,5708.16485507246
"1005","1006",43,3499.97674418605
