"","From.station.id","To.station.id","Freq"
"1","1000","1000",4997
"2","1001","1000",818
"3","1002","1000",245
"4","1003","1000",151
"5","1004","1000",91
"6","1005","1000",110
"7","1006","1000",114
"8","1007","1000",145
"9","1008","1000",132
"10","1009","1000",309
"11","1010","1000",541
"12","1011","1000",130
"13","1012","1000",472
"14","1013","1000",424
"15","1014","1000",140
"16","1015","1000",213
"17","1016","1000",591
"18","1017","1000",1087
"19","1018","1000",161
"20","1019","1000",231
"21","1020","1000",344
"22","1021","1000",78
"23","1022","1000",56
"24","1023","1000",37
"25","1024","1000",25
"26","1025","1000",28
"27","1026","1000",310
"28","1027","1000",12
"29","1028","1000",16
"30","1029","1000",20
"31","1030","1000",6
"32","1031","1000",17
"33","1032","1000",28
"34","1033","1000",63
"35","1034","1000",20
"36","1035","1000",54
"37","1036","1000",101
"38","1037","1000",57
"39","1038","1000",47
"40","1039","1000",85
"41","1040","1000",29
"42","1041","1000",92
"43","1042","1000",50
"44","1043","1000",51
"45","1044","1000",96
"46","1045","1000",429
"47","1046","1000",95
"48","1047","1000",281
"49","1048","1000",145
"50","1049","1000",277
"51","1050","1000",41
"52","1059","1000",3
"53","1061","1000",92
"54","1751","1000",0
"55","1761","1000",0
"56","1762","1000",1
"57","1764","1000",0
"58","1771","1000",2
"59","1781","1000",0
"60","1791","1000",0
"61","1000","1001",644
"62","1001","1001",3452
"63","1002","1001",158
"64","1003","1001",218
"65","1004","1001",302
"66","1005","1001",205
"67","1006","1001",130
"68","1007","1001",348
"69","1008","1001",247
"70","1009","1001",427
"71","1010","1001",469
"72","1011","1001",139
"73","1012","1001",538
"74","1013","1001",612
"75","1014","1001",157
"76","1015","1001",419
"77","1016","1001",662
"78","1017","1001",936
"79","1018","1001",334
"80","1019","1001",278
"81","1020","1001",68
"82","1021","1001",103
"83","1022","1001",91
"84","1023","1001",35
"85","1024","1001",20
"86","1025","1001",448
"87","1026","1001",50
"88","1027","1001",9
"89","1028","1001",10
"90","1029","1001",11
"91","1030","1001",11
"92","1031","1001",21
"93","1032","1001",53
"94","1033","1001",33
"95","1034","1001",21
"96","1035","1001",16
"97","1036","1001",66
"98","1037","1001",21
"99","1038","1001",25
"100","1039","1001",44
"101","1040","1001",13
"102","1041","1001",70
"103","1042","1001",44
"104","1043","1001",41
"105","1044","1001",111
"106","1045","1001",295
"107","1046","1001",150
"108","1047","1001",416
"109","1048","1001",330
"110","1049","1001",466
"111","1050","1001",70
"112","1059","1001",0
"113","1061","1001",64
"114","1751","1001",3
"115","1761","1001",7
"116","1762","1001",3
"117","1764","1001",0
"118","1771","1001",0
"119","1781","1001",0
"120","1791","1001",0
"121","1000","1002",119
"122","1001","1002",138
"123","1002","1002",823
"124","1003","1002",66
"125","1004","1002",52
"126","1005","1002",44
"127","1006","1002",33
"128","1007","1002",61
"129","1008","1002",39
"130","1009","1002",65
"131","1010","1002",65
"132","1011","1002",26
"133","1012","1002",101
"134","1013","1002",83
"135","1014","1002",24
"136","1015","1002",112
"137","1016","1002",89
"138","1017","1002",120
"139","1018","1002",32
"140","1019","1002",52
"141","1020","1002",44
"142","1021","1002",67
"143","1022","1002",9
"144","1023","1002",3
"145","1024","1002",3
"146","1025","1002",9
"147","1026","1002",2
"148","1027","1002",0
"149","1028","1002",11
"150","1029","1002",4
"151","1030","1002",1
"152","1031","1002",6
"153","1032","1002",52
"154","1033","1002",12
"155","1034","1002",5
"156","1035","1002",9
"157","1036","1002",18
"158","1037","1002",10
"159","1038","1002",11
"160","1039","1002",23
"161","1040","1002",8
"162","1041","1002",11
"163","1042","1002",6
"164","1043","1002",18
"165","1044","1002",139
"166","1045","1002",192
"167","1046","1002",139
"168","1047","1002",199
"169","1048","1002",292
"170","1049","1002",287
"171","1050","1002",3
"172","1059","1002",0
"173","1061","1002",8
"174","1751","1002",0
"175","1761","1002",0
"176","1762","1002",0
"177","1764","1002",0
"178","1771","1002",0
"179","1781","1002",0
"180","1791","1002",0
"181","1000","1003",128
"182","1001","1003",149
"183","1002","1003",86
"184","1003","1003",781
"185","1004","1003",159
"186","1005","1003",43
"187","1006","1003",52
"188","1007","1003",55
"189","1008","1003",29
"190","1009","1003",62
"191","1010","1003",153
"192","1011","1003",23
"193","1012","1003",75
"194","1013","1003",89
"195","1014","1003",18
"196","1015","1003",33
"197","1016","1003",226
"198","1017","1003",128
"199","1018","1003",24
"200","1019","1003",45
"201","1020","1003",8
"202","1021","1003",45
"203","1022","1003",6
"204","1023","1003",6
"205","1024","1003",6
"206","1025","1003",13
"207","1026","1003",2
"208","1027","1003",1
"209","1028","1003",6
"210","1029","1003",5
"211","1030","1003",4
"212","1031","1003",0
"213","1032","1003",15
"214","1033","1003",13
"215","1034","1003",8
"216","1035","1003",14
"217","1036","1003",21
"218","1037","1003",12
"219","1038","1003",14
"220","1039","1003",30
"221","1040","1003",9
"222","1041","1003",17
"223","1042","1003",102
"224","1043","1003",14
"225","1044","1003",140
"226","1045","1003",294
"227","1046","1003",273
"228","1047","1003",353
"229","1048","1003",150
"230","1049","1003",363
"231","1050","1003",9
"232","1059","1003",0
"233","1061","1003",19
"234","1751","1003",1
"235","1761","1003",0
"236","1762","1003",0
"237","1764","1003",0
"238","1771","1003",1
"239","1781","1003",0
"240","1791","1003",0
"241","1000","1004",99
"242","1001","1004",91
"243","1002","1004",57
"244","1003","1004",130
"245","1004","1004",1923
"246","1005","1004",78
"247","1006","1004",68
"248","1007","1004",34
"249","1008","1004",61
"250","1009","1004",21
"251","1010","1004",59
"252","1011","1004",27
"253","1012","1004",47
"254","1013","1004",45
"255","1014","1004",36
"256","1015","1004",31
"257","1016","1004",45
"258","1017","1004",58
"259","1018","1004",9
"260","1019","1004",14
"261","1020","1004",2
"262","1021","1004",11
"263","1022","1004",6
"264","1023","1004",4
"265","1024","1004",2
"266","1025","1004",1
"267","1026","1004",0
"268","1027","1004",4
"269","1028","1004",12
"270","1029","1004",0
"271","1030","1004",2
"272","1031","1004",2
"273","1032","1004",40
"274","1033","1004",14
"275","1034","1004",29
"276","1035","1004",45
"277","1036","1004",66
"278","1037","1004",177
"279","1038","1004",333
"280","1039","1004",24
"281","1040","1004",12
"282","1041","1004",156
"283","1042","1004",1
"284","1043","1004",35
"285","1044","1004",62
"286","1045","1004",419
"287","1046","1004",64
"288","1047","1004",44
"289","1048","1004",108
"290","1049","1004",493
"291","1050","1004",7
"292","1059","1004",0
"293","1061","1004",0
"294","1751","1004",0
"295","1761","1004",0
"296","1762","1004",0
"297","1764","1004",0
"298","1771","1004",0
"299","1781","1004",0
"300","1791","1004",0
"301","1000","1005",76
"302","1001","1005",100
"303","1002","1005",36
"304","1003","1005",32
"305","1004","1005",48
"306","1005","1005",552
"307","1006","1005",48
"308","1007","1005",165
"309","1008","1005",48
"310","1009","1005",50
"311","1010","1005",73
"312","1011","1005",24
"313","1012","1005",34
"314","1013","1005",55
"315","1014","1005",31
"316","1015","1005",133
"317","1016","1005",149
"318","1017","1005",146
"319","1018","1005",61
"320","1019","1005",264
"321","1020","1005",18
"322","1021","1005",46
"323","1022","1005",37
"324","1023","1005",4
"325","1024","1005",6
"326","1025","1005",6
"327","1026","1005",2
"328","1027","1005",1
"329","1028","1005",1
"330","1029","1005",3
"331","1030","1005",0
"332","1031","1005",0
"333","1032","1005",6
"334","1033","1005",4
"335","1034","1005",2
"336","1035","1005",12
"337","1036","1005",18
"338","1037","1005",12
"339","1038","1005",11
"340","1039","1005",3
"341","1040","1005",12
"342","1041","1005",17
"343","1042","1005",20
"344","1043","1005",21
"345","1044","1005",17
"346","1045","1005",68
"347","1046","1005",85
"348","1047","1005",52
"349","1048","1005",122
"350","1049","1005",306
"351","1050","1005",65
"352","1059","1005",0
"353","1061","1005",23
"354","1751","1005",0
"355","1761","1005",0
"356","1762","1005",0
"357","1764","1005",0
"358","1771","1005",0
"359","1781","1005",0
"360","1791","1005",0
"361","1000","1006",94
"362","1001","1006",74
"363","1002","1006",41
"364","1003","1006",84
"365","1004","1006",50
"366","1005","1006",43
"367","1006","1006",677
"368","1007","1006",84
"369","1008","1006",407
"370","1009","1006",70
"371","1010","1006",59
"372","1011","1006",25
"373","1012","1006",67
"374","1013","1006",74
"375","1014","1006",70
"376","1015","1006",119
"377","1016","1006",170
"378","1017","1006",164
"379","1018","1006",47
"380","1019","1006",40
"381","1020","1006",15
"382","1021","1006",18
"383","1022","1006",12
"384","1023","1006",11
"385","1024","1006",78
"386","1025","1006",3
"387","1026","1006",4
