"","1000","1001","1002","1003","1004","1005","1006","1007","1008","1009","1010","1011","1012","1013","1014","1015","1016","1017","1018","1019","1020","1021","1022","1023","1024","1025","1026","1027","1028","1029","1030","1031","1032","1033","1034","1035","1036","1037","1038","1039","1040","1041","1042","1043","1044","1045","1046","1047","1048","1049","1050","1059","1061","1063","1751","1761","1762","1764","1771","1781","1791"
"1000",4997,644,119,128,99,76,94,106,55,224,487,93,523,467,118,180,647,708,176,233,26,43,8,4,2,10,167,1,4,2,10,2,7,22,5,21,20,12,23,30,19,22,12,11,43,320,59,328,277,253,31,1,50,0,0,1,0,0,1,0,0
"1001",818,3452,138,149,91,100,74,186,79,444,478,127,598,529,136,307,619,867,219,275,17,31,15,13,9,36,18,2,10,5,3,2,5,10,8,20,40,4,6,25,14,15,3,20,54,380,163,268,219,484,62,0,58,0,0,0,4,0,0,0,0
"1002",245,158,823,86,57,36,41,52,12,95,85,43,118,79,35,115,89,99,45,88,18,2,1,0,1,2,0,0,2,0,1,0,12,11,2,0,18,7,7,1,1,4,3,8,33,289,129,226,523,393,11,0,7,0,0,0,0,0,0,0,0
"1003",151,218,66,781,130,32,84,67,10,47,128,45,79,113,14,64,241,137,46,62,4,12,5,5,5,5,3,0,4,2,0,1,5,6,4,9,14,8,5,2,3,16,1,16,49,401,221,331,299,328,7,0,14,0,1,0,0,0,1,0,0
"1004",91,302,52,159,1923,48,50,25,19,26,66,50,86,40,26,31,84,68,11,24,2,1,0,27,2,1,1,1,4,1,0,6,179,30,17,10,57,13,124,39,12,15,1,13,94,704,102,113,182,465,11,0,4,0,0,0,0,0,4,0,0
"1005",110,205,44,43,78,552,43,172,34,42,96,31,63,89,30,142,130,169,66,306,6,24,3,3,1,2,1,1,3,3,0,0,6,5,5,9,12,4,4,6,11,9,3,17,9,122,99,72,165,328,43,0,28,0,0,0,0,0,1,0,0
"1006",114,130,33,52,68,48,677,64,222,50,102,28,65,115,74,102,219,291,91,77,2,4,3,6,3,2,1,0,1,0,2,1,1,10,1,4,32,11,38,4,35,9,8,6,123,291,51,76,252,731,2,3,19,0,0,0,0,0,0,0,0
"1007",145,348,61,55,34,165,84,581,10,15,70,22,71,38,4,40,52,60,10,23,2,0,0,3,26,2,3,3,2,0,0,1,0,14,3,7,30,11,9,72,19,35,3,32,20,97,53,179,276,198,3,0,2,0,0,0,0,0,0,0,0
"1008",132,247,39,29,61,48,407,13,256,33,100,52,57,46,7,34,112,73,16,49,1,0,1,0,0,0,0,0,4,1,0,0,0,4,1,0,3,6,0,0,1,10,8,3,3,12,7,20,38,44,1,0,5,0,0,0,0,0,0,0,0
